type;n;algo;threshold;time_ms
random;69700;quick;0;3
random;69800;quick;0;3
random;69900;quick;0;3
random;70000;quick;0;3
random;70100;quick;0;3
random;70200;quick;0;3
random;70300;quick;0;3
random;70400;quick;0;3
random;70500;quick;0;3
random;70600;quick;0;3
random;70700;quick;0;3
random;70800;quick;0;3
random;70900;quick;0;3
random;71000;quick;0;3
random;71100;quick;0;3
random;71200;quick;0;3
random;71300;quick;0;3
random;71400;quick;0;3
random;71500;quick;0;3
random;71600;quick;0;3
random;71700;quick;0;3
random;71800;quick;0;3
random;71900;quick;0;3
random;72000;quick;0;3
random;72100;quick;0;3
random;72200;quick;0;3
random;72300;quick;0;3
random;72400;quick;0;3
random;72500;quick;0;3
random;72600;quick;0;3
random;72700;quick;0;3
random;72800;quick;0;3
random;72900;quick;0;3
random;73000;quick;0;3
random;73100;quick;0;3
random;73200;quick;0;3
random;73300;quick;0;3
random;73400;quick;0;3
random;73500;quick;0;3
random;73600;quick;0;3
random;73700;quick;0;3
random;73800;quick;0;3
random;73900;quick;0;3
random;74000;quick;0;3
random;74100;quick;0;4
random;74200;quick;0;3
random;74300;quick;0;3
random;74400;quick;0;4
random;74500;quick;0;3
random;74600;quick;0;4
random;74700;quick;0;3
random;74800;quick;0;4
random;74900;quick;0;3
random;75000;quick;0;4
random;75100;quick;0;3
random;75200;quick;0;4
random;75300;quick;0;4
random;75400;quick;0;4
random;75500;quick;0;3
random;75600;quick;0;3
random;75700;quick;0;4
random;75800;quick;0;4
random;75900;quick;0;4
random;76000;quick;0;4
random;76100;quick;0;4
random;76200;quick;0;4
random;76300;quick;0;4
random;76400;quick;0;4
random;76500;quick;0;4
random;76600;quick;0;4
random;76700;quick;0;4
random;76800;quick;0;4
random;76900;quick;0;4
random;77000;quick;0;4
random;77100;quick;0;4
random;77200;quick;0;4
random;77300;quick;0;4
random;77400;quick;0;4
random;77500;quick;0;4
random;77600;quick;0;4
random;77700;quick;0;4
random;77800;quick;0;4
random;77900;quick;0;4
random;78000;quick;0;4
random;78100;quick;0;4
random;78200;quick;0;4
random;78300;quick;0;4
random;78400;quick;0;4
random;78500;quick;0;4
random;78600;quick;0;4
random;78700;quick;0;4
random;78800;quick;0;4
random;78900;quick;0;4
random;79000;quick;0;4
random;79100;quick;0;4
random;79200;quick;0;4
random;79300;quick;0;4
random;79400;quick;0;4
random;79500;quick;0;4
random;79600;quick;0;4
random;79700;quick;0;4
random;79800;quick;0;4
random;79900;quick;0;4
random;80000;quick;0;4
random;80100;quick;0;4
random;80200;quick;0;4
random;80300;quick;0;4
random;80400;quick;0;4
random;80500;quick;0;4
random;80600;quick;0;4
random;80700;quick;0;4
random;80800;quick;0;4
random;80900;quick;0;4
random;81000;quick;0;4
random;81100;quick;0;4
random;81200;quick;0;4
random;81300;quick;0;4
random;81400;quick;0;4
random;81500;quick;0;4
random;81600;quick;0;4
random;81700;quick;0;4
random;81800;quick;0;4
random;81900;quick;0;4
random;82000;quick;0;4
random;82100;quick;0;4
random;82200;quick;0;4
random;82300;quick;0;4
random;82400;quick;0;4
random;82500;quick;0;4
random;82600;quick;0;4
random;82700;quick;0;4
random;82800;quick;0;4
random;82900;quick;0;4
random;83000;quick;0;4
random;83100;quick;0;4
random;83200;quick;0;4
random;83300;quick;0;4
random;83400;quick;0;4
random;83500;quick;0;4
random;83600;quick;0;4
random;83700;quick;0;4
random;83800;quick;0;4
random;83900;quick;0;4
random;84000;quick;0;4
random;84100;quick;0;4
random;84200;quick;0;4
random;84300;quick;0;4
random;84400;quick;0;4
random;84500;quick;0;4
random;84600;quick;0;4
random;84700;quick;0;4
random;84800;quick;0;4
random;84900;quick;0;4
random;85000;quick;0;4
random;85100;quick;0;4
random;85200;quick;0;4
random;85300;quick;0;4
random;85400;quick;0;4
random;85500;quick;0;4
random;85600;quick;0;4
random;85700;quick;0;4
random;85800;quick;0;4
random;85900;quick;0;4
random;86000;quick;0;4
random;86100;quick;0;4
random;86200;quick;0;4
random;86300;quick;0;4
random;86400;quick;0;4
random;86500;quick;0;4
random;86600;quick;0;4
random;86700;quick;0;4
random;86800;quick;0;4
random;86900;quick;0;4
random;87000;quick;0;4
random;87100;quick;0;4
random;87200;quick;0;4
random;87300;quick;0;4
random;87400;quick;0;4
random;87500;quick;0;4
random;87600;quick;0;4
random;87700;quick;0;4
random;87800;quick;0;4
random;87900;quick;0;4
random;88000;quick;0;4
random;88100;quick;0;4
random;88200;quick;0;4
random;88300;quick;0;4
random;88400;quick;0;4
random;88500;quick;0;4
random;88600;quick;0;4
random;88700;quick;0;4
random;88800;quick;0;4
random;88900;quick;0;4
random;89000;quick;0;4
random;89100;quick;0;4
random;89200;quick;0;4
random;89300;quick;0;4
random;89400;quick;0;4
random;89500;quick;0;4
random;89600;quick;0;4
random;89700;quick;0;4
random;89800;quick;0;4
random;89900;quick;0;4
random;90000;quick;0;4
random;90100;quick;0;4
random;90200;quick;0;4
random;90300;quick;0;4
random;90400;quick;0;4
random;90500;quick;0;4
random;90600;quick;0;4
random;90700;quick;0;5
random;90800;quick;0;4
random;90900;quick;0;4
random;91000;quick;0;5
random;91100;quick;0;4
random;91200;quick;0;4
random;91300;quick;0;5
random;91400;quick;0;4
random;91500;quick;0;5
random;91600;quick;0;4
random;91700;quick;0;4
random;91800;quick;0;4
random;91900;quick;0;5
random;92000;quick;0;5
random;92100;quick;0;5
random;92200;quick;0;5
random;92300;quick;0;5
random;92400;quick;0;5
random;92500;quick;0;5
random;92600;quick;0;5
random;92700;quick;0;4
random;92800;quick;0;5
random;92900;quick;0;5
random;93000;quick;0;5
random;93100;quick;0;5
random;93200;quick;0;5
random;93300;quick;0;5
random;93400;quick;0;5
random;93500;quick;0;5
random;93600;quick;0;5
random;93700;quick;0;5
random;93800;quick;0;5
random;93900;quick;0;5
random;94000;quick;0;5
random;94100;quick;0;5
random;94200;quick;0;5
random;94300;quick;0;5
random;94400;quick;0;5
random;94500;quick;0;5
random;94600;quick;0;5
random;94700;quick;0;5
random;94800;quick;0;5
random;94900;quick;0;5
random;95000;quick;0;5
random;95100;quick;0;5
random;95200;quick;0;5
random;95300;quick;0;5
random;95400;quick;0;5
random;95500;quick;0;5
random;95600;quick;0;5
random;95700;quick;0;5
random;95800;quick;0;5
random;95900;quick;0;5
random;96000;quick;0;5
random;96100;quick;0;5
random;96200;quick;0;5
random;96300;quick;0;5
random;96400;quick;0;5
random;96500;quick;0;5
random;96600;quick;0;5
random;96700;quick;0;5
random;96800;quick;0;5
random;96900;quick;0;5
random;97000;quick;0;5
random;97100;quick;0;5
random;97200;quick;0;5
random;97300;quick;0;5
random;97400;quick;0;5
random;97500;quick;0;5
random;97600;quick;0;5
random;97700;quick;0;5
random;97800;quick;0;5
random;97900;quick;0;5
random;98000;quick;0;5
random;98100;quick;0;5
random;98200;quick;0;5
random;98300;quick;0;5
random;98400;quick;0;5
random;98500;quick;0;5
random;98600;quick;0;5
random;98700;quick;0;5
random;98800;quick;0;5
random;98900;quick;0;5
random;99000;quick;0;5
random;99100;quick;0;5
random;99200;quick;0;5
random;99300;quick;0;5
random;99400;quick;0;5
random;99500;quick;0;5
random;99600;quick;0;5
random;99700;quick;0;5
random;99800;quick;0;5
random;99900;quick;0;5
random;100000;quick;0;5
random;500;intro;16;0
random;600;intro;16;0
random;700;intro;16;0
random;800;intro;16;0
random;900;intro;16;0
random;1000;intro;16;0
random;1100;intro;16;0
random;1200;intro;16;0
random;1300;intro;16;0
random;1400;intro;16;0
random;1500;intro;16;0
random;1600;intro;16;0
random;1700;intro;16;0
random;1800;intro;16;0
random;1900;intro;16;0
random;2000;intro;16;0
random;2100;intro;16;0
random;2200;intro;16;0
random;2300;intro;16;0
random;2400;intro;16;0
random;2500;intro;16;0
random;2600;intro;16;0
random;2700;intro;16;0
random;2800;intro;16;0
random;2900;intro;16;0
random;3000;intro;16;0
random;3100;intro;16;0
random;3200;intro;16;0
random;3300;intro;16;0
random;3400;intro;16;0
random;3500;intro;16;0
random;3600;intro;16;0
random;3700;intro;16;0
random;3800;intro;16;0
random;3900;intro;16;0
random;4000;intro;16;0
random;4100;intro;16;0
random;4200;intro;16;0
random;4300;intro;16;0
random;4400;intro;16;0
random;4500;intro;16;0
random;4600;intro;16;0
random;4700;intro;16;0
random;4800;intro;16;0
random;4900;intro;16;0
random;5000;intro;16;0
random;5100;intro;16;0
random;5200;intro;16;0
random;5300;intro;16;0
random;5400;intro;16;0
random;5500;intro;16;0
random;5600;intro;16;0
random;5700;intro;16;0
random;5800;intro;16;0
random;5900;intro;16;0
random;6000;intro;16;0
random;6100;intro;16;0
random;6200;intro;16;0
random;6300;intro;16;0
random;6400;intro;16;0
random;6500;intro;16;0
random;6600;intro;16;0
random;6700;intro;16;0
random;6800;intro;16;0
random;6900;intro;16;0
random;7000;intro;16;0
random;7100;intro;16;0
random;7200;intro;16;0
